timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599949808773,437, login ,200,OK,user time Entries 1-1,text,true,,459,276,3,3,http://localhost:3000/api/user/login,437,0,1
1599949808972,408, login ,200,OK,user time Entries 1-2,text,true,,459,276,4,4,http://localhost:3000/api/user/login,408,0,0
1599949809173,468, login ,200,OK,user time Entries 1-3,text,true,,459,276,5,5,http://localhost:3000/api/user/login,468,0,1
1599949809372,522, login ,200,OK,user time Entries 1-4,text,true,,459,276,6,6,http://localhost:3000/api/user/login,522,0,1
1599949809573,510, login ,200,OK,user time Entries 1-5,text,true,,459,276,7,7,http://localhost:3000/api/user/login,510,0,0
1599949809773,625, login ,200,OK,user time Entries 1-6,text,true,,459,276,9,9,http://localhost:3000/api/user/login,625,0,1
1599949809973,520, login ,200,OK,user time Entries 1-7,text,true,,459,276,9,9,http://localhost:3000/api/user/login,520,0,1
1599949810173,432, login ,200,OK,user time Entries 1-8,text,true,,459,276,10,10,http://localhost:3000/api/user/login,432,0,1
1599949809210,1406,add time entry,200,OK,user time Entries 1-1,text,true,,410,605,10,10,http://localhost:3000/api/userTimeEntry/addTimeEntry,1406,0,0
1599949810373,598, login ,200,OK,user time Entries 1-9,text,true,,459,276,11,11,http://localhost:3000/api/user/login,598,0,0
1599949810573,524, login ,200,OK,user time Entries 1-10,text,true,,459,276,12,12,http://localhost:3000/api/user/login,524,0,1
1599949809380,1720,add time entry,200,OK,user time Entries 1-2,text,true,,410,605,12,12,http://localhost:3000/api/userTimeEntry/addTimeEntry,1720,0,0
1599949810774,465, login ,200,OK,user time Entries 1-11,text,true,,459,276,13,13,http://localhost:3000/api/user/login,465,0,0
1599949809641,1825,add time entry,200,OK,user time Entries 1-3,text,true,,410,605,14,14,http://localhost:3000/api/userTimeEntry/addTimeEntry,1825,0,0
1599949810974,610, login ,200,OK,user time Entries 1-12,text,true,,459,276,15,15,http://localhost:3000/api/user/login,610,0,0
1599949811174,527, login ,200,OK,user time Entries 1-13,text,true,,459,276,15,15,http://localhost:3000/api/user/login,527,0,0
1599949810083,1619,add time entry,200,OK,user time Entries 1-5,text,true,,410,605,15,15,http://localhost:3000/api/userTimeEntry/addTimeEntry,1618,0,0
1599949809894,1811,add time entry,200,OK,user time Entries 1-4,text,true,,410,605,15,15,http://localhost:3000/api/userTimeEntry/addTimeEntry,1811,0,0
1599949811374,493, login ,200,OK,user time Entries 1-14,text,true,,459,276,16,16,http://localhost:3000/api/user/login,493,0,1
1599949811574,491, login ,200,OK,user time Entries 1-15,text,true,,459,276,17,17,http://localhost:3000/api/user/login,491,0,0
1599949810399,1678,add time entry,200,OK,user time Entries 1-6,text,true,,410,605,17,17,http://localhost:3000/api/userTimeEntry/addTimeEntry,1678,0,0
1599949810605,1653,add time entry,200,OK,user time Entries 1-8,text,true,,410,605,18,18,http://localhost:3000/api/userTimeEntry/addTimeEntry,1653,0,0
1599949811775,645, login ,200,OK,user time Entries 1-16,text,true,,459,276,19,19,http://localhost:3000/api/user/login,645,0,0
1599949810493,1927,add time entry,200,OK,user time Entries 1-7,text,true,,410,605,19,19,http://localhost:3000/api/userTimeEntry/addTimeEntry,1927,0,0
1599949810616,1867,update time entry desription,200,OK,user time Entries 1-1,text,true,,289,481,19,19,http://localhost:3000/api/userTimeEntry/updateTimeEntry,1867,0,0
1599949811973,753, login ,200,OK,user time Entries 1-17,text,true,,459,276,19,19,http://localhost:3000/api/user/login,753,0,0
1599949812173,663, login ,200,OK,user time Entries 1-18,text,true,,459,276,20,20,http://localhost:3000/api/user/login,663,0,2
1599949810971,1865,add time entry,200,OK,user time Entries 1-9,text,true,,410,605,20,20,http://localhost:3000/api/userTimeEntry/addTimeEntry,1865,0,0
1599949811098,1739,add time entry,200,OK,user time Entries 1-10,text,true,,410,605,20,20,http://localhost:3000/api/userTimeEntry/addTimeEntry,1739,0,0
1599949812373,953, login ,200,OK,user time Entries 1-19,text,true,,459,276,22,22,http://localhost:3000/api/user/login,953,0,0
1599949811101,2225,update time entry desription,200,OK,user time Entries 1-2,text,true,,289,481,22,22,http://localhost:3000/api/userTimeEntry/updateTimeEntry,2225,0,0
1599949811239,2280,add time entry,200,OK,user time Entries 1-11,text,true,,410,605,22,22,http://localhost:3000/api/userTimeEntry/addTimeEntry,2280,0,0
1599949811466,2068,update time entry desription,200,OK,user time Entries 1-3,text,true,,289,481,22,22,http://localhost:3000/api/userTimeEntry/updateTimeEntry,2068,0,0
1599949812575,1073, login ,200,OK,user time Entries 1-20,text,true,,459,276,22,22,http://localhost:3000/api/user/login,1073,0,1
1599949812773,1163, login ,200,OK,user time Entries 1-21,text,true,,459,276,23,23,http://localhost:3000/api/user/login,1163,0,1
1599949812974,1055, login ,200,OK,user time Entries 1-22,text,true,,459,276,24,24,http://localhost:3000/api/user/login,1055,0,0
1599949813175,978, login ,200,OK,user time Entries 1-23,text,true,,459,276,24,24,http://localhost:3000/api/user/login,978,0,1
1599949811701,2453,add time entry,200,OK,user time Entries 1-13,text,true,,410,605,24,24,http://localhost:3000/api/userTimeEntry/addTimeEntry,2453,0,0
1599949811584,2797,add time entry,200,OK,user time Entries 1-12,text,true,,410,605,26,26,http://localhost:3000/api/userTimeEntry/addTimeEntry,2797,0,0
1599949811702,2679,update time entry desription,200,OK,user time Entries 1-5,text,true,,289,481,26,26,http://localhost:3000/api/userTimeEntry/updateTimeEntry,2679,0,0
1599949811705,2677,update time entry desription,200,OK,user time Entries 1-4,text,true,,289,481,26,26,http://localhost:3000/api/userTimeEntry/updateTimeEntry,2677,0,0
1599949813375,1109, login ,200,OK,user time Entries 1-24,text,true,,459,276,24,24,http://localhost:3000/api/user/login,1109,0,0
1599949813575,1020, login ,200,OK,user time Entries 1-25,text,true,,459,276,25,25,http://localhost:3000/api/user/login,1020,0,1
1599949813774,918, login ,200,OK,user time Entries 1-26,text,true,,459,276,25,25,http://localhost:3000/api/user/login,918,0,1
1599949811868,2825,add time entry,200,OK,user time Entries 1-14,text,true,,410,605,25,25,http://localhost:3000/api/userTimeEntry/addTimeEntry,2825,0,0
1599949813974,810, login ,200,OK,user time Entries 1-27,text,true,,459,276,26,26,http://localhost:3000/api/user/login,810,0,0
1599949814174,706, login ,200,OK,user time Entries 1-28,text,true,,459,276,26,26,http://localhost:3000/api/user/login,706,0,0
1599949812420,2461,add time entry,200,OK,user time Entries 1-16,text,true,,410,605,26,26,http://localhost:3000/api/userTimeEntry/addTimeEntry,2461,0,0
1599949812065,2818,add time entry,200,OK,user time Entries 1-15,text,true,,410,605,26,26,http://localhost:3000/api/userTimeEntry/addTimeEntry,2818,0,0
1599949812258,2641,update time entry desription,200,OK,user time Entries 1-8,text,true,,289,481,26,26,http://localhost:3000/api/userTimeEntry/updateTimeEntry,2641,0,0
